province_id,province_name,geo_region,lon,lat,year,gdp_base_year,gdp,ndvi_sum,forest_loss_area_ha,chlor_a_sum_B150_D15,ntl_sum_unfiltered
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2002,2000,6468.06,91291.77,18800.1,13121.43,6901
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2002,2000,1655.33,36324.31,9493.2,1744.99,8113
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2002,2000,NA,50142.82,14243.22,2049.42,1997
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2002,2000,2833.83,124164.29,17423.64,29553.72,4379
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2002,2000,1957.72,101758.46,27443.79,14204.09,3099
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2003,2000,11581.97,39499.68,3413.61,3877.95,21862
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2003,2000,10403.36,174803.55,23628.69,23675.58,7782
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2003,2000,32550.35,93760.29,6982.74,35279.5,43886
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2003,2000,6957.66,90497.68,15961.59,22723.55,7119
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2003,2000,1769.19,35424.71,3303.18,3535.53,8600
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2003,2000,NA,49436.64,8069.31,5877.88,1780
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2003,2000,2956.17,126149.53,5228.82,50397.59,5423
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2003,2000,2032.57,102916.45,11762.01,17906.57,3021
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2004,2000,12075.26,40370.57,8034.93,3776.97,23412
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2004,2000,11146.84,180027.4,47369.07,24691.66,9515
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2004,2000,34265.62,94117.58,21212.01,43202.79,47533
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2004,2000,7480.18,92838.71,49204.89,25725.4,8339
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2004,2000,1891.76,35266.35,8229.15,3346.95,9430
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2004,2000,NA,49288.77,18312.12,6233.96,2095
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2004,2000,3087.49,126874.07,8859.24,55218.48,6797
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2004,2000,2128.21,103798.67,14125.41,23565.29,3055
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2005,2000,12725.59,40616.91,4072.86,3282.19,21046
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2005,2000,11948.14,174325.3,21285.27,23917.38,9654
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2005,2000,36337.25,92659.08,10178.55,36927.94,44167
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2005,2000,8026.86,89030.96,19362.6,20747.89,8039
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2005,2000,2027.72,35303.44,4991.76,2968.68,8504
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2005,2000,3106.72,48537.73,10953.18,5972.21,1895
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2005,2000,3244.43,124604.01,6842.43,48377.23,6930
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2005,2000,2236.8,101001.23,7524.09,16702.08,2811
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2006,2000,13449.55,40807.57,5738.4,3234.57,22005
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2006,2000,12810.87,174218.31,36241.38,22193.7,11209
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2006,2000,38781.5,88353.59,16505.91,32744.5,49453
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2006,2000,8643.33,87780.78,52367.4,21870.01,9278
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2006,2000,2175.82,34589.28,6187.14,3107.94,8802
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2006,2000,3321.15,47439.55,13277.97,5171.12,2054
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2006,2000,3424.97,122980.48,14945.13,42408.32,7264
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2006,2000,2359.48,103704.92,18990.09,18151.21,3319
